replicon,replicon type,GC%,hitcount,best identity%
CP188919.1,chromosome,47.700045996791665,9,80.560
CP188920.1,chromosome,46.84607865952991,0,n/a
CP003330.1,chromosome,47.65665264592928,8,80.560
CP003331.1,chromosome,46.91914085526463,0,n/a
CP189078.1,chromosome,47.4757030049882,9,80.560
NZ_CM126285.1,chromosome,47.623212534998544,7,78.730
NZ_JBQSRC010000002.1,plasmid,44.81785967399008,0,n/a
NZ_JBQSRC010000004.1,plasmid,45.23957685127567,0,n/a
NZ_JBQSRC010000003.1,plasmid,50.13413256031052,0,n/a
CP016987.1,chromosome,48.05694468660675,9,80.635
CP016988.1,chromosome,46.84330387714399,0,n/a
AP023377.1,chromosome,47.90082618874714,9,80.562
AP023378.1,chromosome,47.20188372484162,0,n/a
CP189047.1,chromosome,47.70082119415923,9,80.560
CP189048.1,chromosome,46.97786661052202,0,n/a
NZ_CP173268.1,chromosome,47.68243942411,10,80.560
NZ_CP173269.1,chromosome,47.01970045521403,0,n/a
NZ_CP173270.1,plasmid,52.587349432917755,0,n/a
CM126291.1,chromosome,47.624307684153806,7,78.730
JBQSRH010000003.1,plasmid,44.833788932481625,0,n/a
JBQSRH010000002.1,plasmid,45.262829835861204,0,n/a
JBQSRH010000004.1,plasmid,50.1391360780342,0,n/a
NZ_CP024082.1,chromosome,47.70684878810963,10,80.591
NZ_CP024083.1,chromosome,47.28438004709534,0,n/a
CP189065.1,chromosome,47.700807262779286,9,80.560
CP189066.1,chromosome,46.977583369603906,0,n/a
NZ_CP172325.1,chromosome,47.80304400230979,8,80.560
NZ_CP172326.1,chromosome,46.9200247649339,0,n/a
CP171656.1,chromosome,47.71081661286702,8,80.560
CP171657.1,chromosome,47.06688170184988,0,n/a
NC_008150.1,contig/unkown,47.701194035500585,7,78.807
NC_008122.1,plasmid,44.832785672626926,0,n/a
NC_008120.1,plasmid,50.23996848793938,0,n/a
NC_008121.1,plasmid,45.43936160341468,0,n/a
CP178092.1,chromosome,47.663200535744124,7,78.730
CP178093.1,plasmid,44.80770323240357,0,n/a
CP178095.1,plasmid,50.16635310426775,0,n/a
CP178094.1,plasmid,45.27575442247659,0,n/a
CP047299.1,chromosome,47.69675958738503,8,80.560
CP047300.1,chromosome,46.910783498221335,0,n/a
CP189132.1,chromosome,47.47425367324578,9,80.560
CP189023.1,chromosome,47.69735124238848,9,80.560
CP189024.1,chromosome,46.833166851715006,0,n/a
NZ_CP046749.1,chromosome,47.86333981571989,10,80.635
NZ_CP046750.1,chromosome,47.134208493088074,0,n/a
NZ_CP013309.1,chromosome,47.72455519458308,9,80.560
NZ_CP013310.1,chromosome,46.81949894870223,0,n/a
CP171678.1,chromosome,47.71833096291343,10,80.560
CP171679.1,chromosome,46.77466615298631,0,n/a
CP189226.1,chromosome,47.69408077132815,9,80.560
CP189227.1,chromosome,46.8333936743996,0,n/a
NZ_CM126326.1,chromosome,47.62450032943371,7,78.730
NZ_JBQSSQ010000004.1,plasmid,44.80758869069563,0,n/a
NZ_JBQSSQ010000002.1,plasmid,45.262829835861204,0,n/a
NZ_JBQSSQ010000003.1,plasmid,50.12917358375655,0,n/a
CP189194.1,chromosome,47.698097882949305,9,80.560
CP189195.1,chromosome,46.83329496253277,0,n/a
NC_008149.1,contig/unkown,47.5840153134021,7,78.807
NC_008118.1,plasmid,50.16250817495392,0,n/a
NC_008119.1,plasmid,45.43514566709965,0,n/a
CP000901.1,chromosome,47.598026221434225,7,78.817
CP000902.1,plasmid,44.64144302683678,0,n/a
CP000900.1,plasmid,49.97905210788164,0,n/a
AE017042.1,chromosome,47.6500767671404,7,78.730
AE017043.1,plasmid,44.84670534072607,0,n/a
AE017044.1,plasmid,49.06632324533162,0,n/a
AE017045.1,plasmid,50.31132199321093,0,n/a
AE017046.1,plasmid,45.25965240919971,0,n/a
CP189190.1,chromosome,47.70196022503319,9,80.560
CP189191.1,chromosome,46.833344318512005,0,n/a
CP189204.1,chromosome,47.68542046819373,9,80.560
CP189205.1,chromosome,46.833233847287836,0,n/a
NZ_CM126291.1,chromosome,47.624307684153806,7,78.730
NZ_JBQSRH010000003.1,plasmid,44.833788932481625,0,n/a
NZ_JBQSRH010000002.1,plasmid,45.262829835861204,0,n/a
NZ_JBQSRH010000004.1,plasmid,50.1391360780342,0,n/a
CP009906.1,chromosome,47.70555545171393,7,78.730
CP009905.1,plasmid,44.83425807369469,0,n/a
CP009904.1,plasmid,50.23789039420355,0,n/a
CP009903.1,plasmid,45.28046622957644,0,n/a
CP188858.1,chromosome,47.700025335698,9,80.560
